1,2,3,4,5,6,7,8,9,10,11,12,13,14
15,-18.48253503,-70.31321296,5000000,2,247.848,179600,41308,19037.6,10.6,160562.4,20,6,78.6
2,-23.64636372,-70.39522426,9000000,2,719.466,594600,143298.6,38649,4.7,579140.4,17.2,4.6,76
3,-27.36528235,-70.33191646,95800000,2,341.054,286600,69070.6,23501.2,3.8,259659.6,18.2,5.2,78.2
4,-29.90670708,-71.24674997,16000000,2,876.798,749400,170863.2,73441.2,18.5,607014,15.4,5.2,79.1
5,-33.04399273,-71.6214775,36300000,1,2594.163,1814100,377332.8,199551,110.6,1659901.5,13.3,6.3,77.6
13,-33.4375638,-70.64300933,133500000,1,10109.528,7069600,1534103.2,636264,459,6829233.6,14.5,5.2,78.3
6,-34.15805309,-70.76435849,15000000,1,1017.632,908600,201709.2,85408.4,55.4,646014.6,13.8,5.4,77.6
7,-35.42909604,-71.666239,26000000,1,1186.34,1031600,226952,99033.6,34.1,695298.4,13.5,5.9,77.1
8,-36.82880625,-73.05148486,82900000,1,3131.891,2074100,452153.8,197039.5,56,1740169.9,13.7,5.7,77.4
10,-41.47191807,-72.9353147,8000000,5,1422.372,867300,200346.3,75455.1,17.9,692105.4,14.2,5.5,76.7
11,-45.5688345,-72.07279082,4000000,5,330.174,107900,26435.5,7660.9,1,91930.8,14.6,5.4,78.9
12,-53.16125363,-70.90396509,5000000,4,309.186,160200,33481.8,14257.8,0.1,149146.2,13.4,6.1,77.1
14,-39.81351773,-73.23982267,10000000,1,662.071,382700,83811.3,39035.4,20.8,262532.2,13.7,6.5,77.1
1,-20.2152542,-70.15295234,4800000,2,467.179,336100,81000.1,21846.5,8,312236.9,18.1,4,78
9,-38.74292378,-72.59147196,32900000,1,1471.712,994400,228712,98445.6,31.2,676192,13.8,6,77.5

