1,2,3,4,5,6
15,-18.48253503,-70.31321296,179600,6,78.6
2,-23.64636372,-70.39522426,594600,4.6,76
3,-27.36528235,-70.33191646,286600,5.2,78.2
4,-29.90670708,-71.24674997,749400,5.2,79.1
5,-33.04399273,-71.6214775,1814100,6.3,77.6
13,-33.4375638,-70.64300933,7069600,5.2,78.3
6,-34.15805309,-70.76435849,908600,5.4,77.6
7,-35.42909604,-71.666239,1031600,5.9,77.1
8,-36.82880625,-73.05148486,2074100,5.7,77.4
10,-41.47191807,-72.9353147,867300,5.5,76.7
11,-45.5688345,-72.07279082,107900,5.4,78.9
12,-53.16125363,-70.90396509,160200,6.1,77.1
14,-39.81351773,-73.23982267,382700,6.5,77.1
1,-20.2152542,-70.15295234,336100,4,78
9,-38.74292378,-72.59147196,994400,6,77.5


